num :,element :,name :,str3 :,tc :,lata :,latb :,latc :,refno :,ma1 :,ma2 :,mb1 :,mb2 :,mc1 :,mc2 :,md1 :,md2 :,me1 :,me2 :,mf1 :,mf2 :,mg1 :,mg2 :,mh1 :,mh2 :,mi1 :,mi2 :,mo1 :,mo2 :,oz :,composition :
156098,La1Fe1As0.6P0.4F0.1O0.9,"LaFe(As,P)(O,F)",oxypnictide,27.0,,,,PRB090064504,La,1.0,Fe,1.0,As,0.6,P,0.4,F,0.1,,,,,,,,,O,0.9,,La1.0Fe1.0As0.6P0.4F0.1O0.9
156101,La1Fe1As1F0.11O0.89,"La(Fe,Mn)As(O,F)",oxypnictide,27.0,,,,PRB092020505,La,1.0,Fe,1.0,As,1.0,F,0.11,,,,,,,,,,,O,0.89,,La1.0Fe1.0As1.0F0.11O0.89
156102,La1Fe0.9997Mn0.00025As1F0.11O0.89,"La(Fe,Mn)As(O,F)",oxypnictide,22.8,,,,PRB092020505,La,1.0,Fe,0.9997,Mn,0.00025,As,1.0,F,0.11,,,,,,,,,O,0.89,,La1.0Fe0.9997Mn0.00025As1.0F0.11O0.89
156104,La0.8Y0.2Fe1As1F0.11O0.89,"(La,Y)(Fe,Mn)As(O,F)",oxypnictide,30.3,,,,PRB092020505,La,0.8,Y,0.2,Fe,1.0,As,1.0,F,0.11,,,,,,,,,O,0.89,,La0.8Y0.2Fe1.0As1.0F0.11O0.89
156105,La0.8Y0.2Fe0.997Mn0.003As1F0.11O0.89,"(La,Y)(Fe,Mn)As(O,F)",oxypnictide,29.3,,,,PRB092020505,La,0.8,Y,0.2,Fe,0.997,Mn,0.003,As,1.0,F,0.11,,,,,,,O,0.89,,La0.8Y0.2Fe0.997Mn0.003As1.0F0.11O0.89
156106,La0.8Y0.2Fe0.995Mn0.005As1F0.11O0.89,"(La,Y)(Fe,Mn)As(O,F)",oxypnictide,25.7,,,,PRB092020505,La,0.8,Y,0.2,Fe,0.995,Mn,0.005,As,1.0,F,0.11,,,,,,,O,0.89,,La0.8Y0.2Fe0.995Mn0.005As1.0F0.11O0.89
156107,La0.8Y0.2Fe0.99Mn0.01As1F0.11O0.89,"(La,Y)(Fe,Mn)As(O,F)",oxypnictide,25.3,,,,PRB092020505,La,0.8,Y,0.2,Fe,0.99,Mn,0.01,As,1.0,F,0.11,,,,,,,O,0.89,,La0.8Y0.2Fe0.99Mn0.01As1.0F0.11O0.89
156108,Sm1Fe0.965Mn0.035As1F0.11O0.89,"Sm(Fe,Mn)As(O,F)",oxypnictide,31.3,,,,PRB092020505,Sm,1.0,Fe,0.965,Mn,0.035,As,1.0,F,0.11,,,,,,,,,O,0.89,,Sm1.0Fe0.965Mn0.035As1.0F0.11O0.89
156307,La1.9Sr0.1Cu1O4,"(La,Sr)2CuO4",T,22.9,,,,JPS0683074,La,1.9,Sr,0.1,Cu,1.0,,,,,,,,,,,,,O,4.0,,La1.9Sr0.1Cu1.0O4.0
156308,La1.9Sr0.1Cu1O4,"(La,Sr)2CuO4",T,22.9,,,,JPS0683074,La,1.9,Sr,0.1,Cu,1.0,,,,,,,,,,,,,O,4.0,,La1.9Sr0.1Cu1.0O4.0
