,col_id :,str3 :,lata :,latb :,latc :,cu-o_a :,cu-o_p :,d_la :
90,83062.0,Y123,3.8265,3.8875,11.7011,2.3245,1.9372500000000001,
91,68403.0,Y123,3.8752,3.8752,11.6851,2.3732,1.9376,
92,71425.0,Y123,3.8499,3.8499,11.5856,2.2869,1.9249,
93,65604.0,Y123,3.827,3.877,11.7,2.26975,1.938,
94,83046.0,Y123,3.80959,3.80959,11.5104,2.1194,1.8834,
95,87094.0,Y123,3.78526,3.85313,11.562,2.2264,1.9138,
96,66497.0,Y123,3.8397,3.8898,11.6932,2.3187,1.9336,
97,82695.0,Y123,3.834,3.8781,11.7454,2.3735,1.9316,
98,96053.0,Y123,3.8388,3.8388,11.4822,2.11805,1.89195,
99,92606.0,Y123,3.8854,3.8854,11.6746,2.3781,1.9427,
